elem_id,type,node_i,node_j,Fx_i_local,Fy_i_local,Fz_i_local,Mx_i_local,My_i_local,Mz_i_local,Fx_j_local,Fy_j_local,Fz_j_local,Mx_j_local,My_j_local,Mz_j_local
21,3D_truss,16,17,30.553708391166538,0.0,0.0,0.0,0.0,0.0,-30.553708391166538,0.0,0.0,0.0,0.0,0.0
22,3D_truss,17,18,18.751634682650888,0.0,0.0,0.0,0.0,0.0,-18.751634682650888,0.0,0.0,0.0,0.0,0.0
23,3D_truss,10,13,14.416086377732768,0.0,0.0,0.0,0.0,0.0,-14.416086377732768,0.0,0.0,0.0,0.0,0.0
24,3D_truss,13,16,-5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0
25,3D_truss,11,14,37.705983412595344,0.0,0.0,0.0,0.0,0.0,-37.705983412595344,0.0,0.0,0.0,0.0,0.0
26,3D_truss,14,17,20.863538564433668,0.0,0.0,0.0,0.0,0.0,-20.863538564433668,0.0,0.0,0.0,0.0,0.0
27,3D_truss,12,15,39.09609029591991,0.0,0.0,0.0,0.0,0.0,-39.09609029591991,0.0,0.0,0.0,0.0,0.0
28,3D_truss,15,18,23.751634682650945,0.0,0.0,0.0,0.0,0.0,-23.751634682650945,0.0,0.0,0.0,0.0,0.0
29,3D_truss,10,14,-38.799188550929216,0.0,0.0,0.0,0.0,0.0,38.799188550929216,0.0,0.0,0.0,0.0,0.0
30,3D_truss,11,15,-27.74167157295119,0.0,0.0,0.0,0.0,0.0,27.74167157295119,0.0,0.0,0.0,0.0,0.0
31,3D_truss,13,17,-29.505499196916332,0.0,0.0,0.0,0.0,0.0,29.505499196916332,0.0,0.0,0.0,0.0,0.0
32,3D_truss,14,18,-33.58988389673601,0.0,0.0,0.0,0.0,0.0,33.58988389673601,0.0,0.0,0.0,0.0,0.0
33,3D_truss,1,10,-53.999999999999204,0.0,0.0,0.0,0.0,0.0,53.999999999999204,0.0,0.0,0.0,0.0,0.0
34,3D_truss,2,11,-36.37710045860182,0.0,0.0,0.0,0.0,0.0,36.37710045860182,0.0,0.0,0.0,0.0,0.0
35,3D_truss,3,12,44.91530835510382,0.0,0.0,0.0,0.0,0.0,-44.91530835510382,0.0,0.0,0.0,0.0,0.0
36,3D_truss,4,13,-27.62289954139737,0.0,0.0,0.0,0.0,0.0,27.62289954139737,0.0,0.0,0.0,0.0,0.0
37,3D_truss,5,14,14.420241575496107,0.0,0.0,0.0,0.0,0.0,-14.420241575496107,0.0,0.0,0.0,0.0,0.0
38,3D_truss,6,15,15.126242172898003,0.0,0.0,0.0,0.0,0.0,-15.126242172898003,0.0,0.0,0.0,0.0,0.0
39,3D_truss,7,16,40.6644500694,0.0,0.0,0.0,0.0,0.0,-40.6644500694,0.0,0.0,0.0,0.0,0.0
40,3D_truss,8,17,14.873757827101826,0.0,0.0,0.0,0.0,0.0,-14.873757827101826,0.0,0.0,0.0,0.0,0.0
41,3D_truss,9,18,9.999999999999659,0.0,0.0,0.0,0.0,0.0,-9.999999999999659,0.0,0.0,0.0,0.0,0.0
42,3D_truss,10,2,47.35237284453645,0.0,0.0,0.0,0.0,0.0,-47.35237284453645,0.0,0.0,0.0,0.0,0.0
43,3D_truss,11,3,73.00590745714514,0.0,0.0,0.0,0.0,0.0,-73.00590745714514,0.0,0.0,0.0,0.0,0.0
44,3D_truss,13,5,-6.134496029154732,0.0,0.0,0.0,0.0,0.0,6.134496029154732,0.0,0.0,0.0,0.0,0.0
45,3D_truss,14,6,25.759591289344655,0.0,0.0,0.0,0.0,0.0,-25.759591289344655,0.0,0.0,0.0,0.0,0.0
46,3D_truss,16,8,-39.91616853606456,0.0,0.0,0.0,0.0,0.0,39.91616853606456,0.0,0.0,0.0,0.0,0.0
