node_id,x,y,z,ux,uy,uz,rx,ry,rz,disp_mag,rot_mag
18,90.88,20.0,0.0,2.2267523533749388e-05,0.0,-3.6691728209853324e-05,0.0,0.0,0.0,4.291998978741525e-05,0.0
19,109.055,20.0,0.0,2.605951701761359e-05,0.0,0.0,0.0,0.0,0.0,2.605951701761359e-05,0.0
20,18.176,20.0,20.0,2.5776785313774186e-05,0.0,-3.357449798252667e-05,0.0,0.0,0.0,4.232835427808518e-05,0.0
21,36.352,20.0,20.0,1.960162201745047e-05,0.0,-6.0023824514310225e-05,0.0,0.0,0.0,6.314335353019911e-05,0.0
22,54.528,20.0,20.0,1.2925658283856635e-05,0.0,-6.679551969082741e-05,0.0,0.0,0.0,6.803465361739372e-05,0.0
23,72.704,20.0,20.0,6.134723724928272e-06,0.0,-6.0775813959067465e-05,0.0,0.0,0.0,6.108464944295234e-05,0.0
24,90.88,20.0,20.0,-2.4412739229978287e-07,0.0,-3.523182227104403e-05,0.0,0.0,0.0,3.5232668061361816e-05,0.0
25,18.176,5.0,0.0,9.187903477879069e-06,2.2899380068906448e-10,-3.825244936480929e-05,-1.1808141394846993e-06,3.1933816482753447e-06,-1.3925167305895037e-06,3.934040483750211e-05,3.678465879754824e-06
26,18.176,10.0,0.0,1.2708363200957561e-05,-7.5384269881392115e-25,-4.219583094994146e-05,2.349378027264365e-22,9.306960646384023e-06,6.451799735671088e-23,4.40680229282355e-05,9.306960646384023e-06
27,18.176,15.0,0.0,9.187903477879072e-06,-2.289938006890659e-10,-3.825244936480929e-05,1.180814139484704e-06,3.1933816482753417e-06,1.392516730589503e-06,3.934040483750211e-05,3.678465879754822e-06
28,36.352,5.0,0.0,1.0455540567618113e-05,-1.355497715774066e-10,-7.058813602840807e-05,-3.35162940466209e-06,1.9021743728855176e-06,-9.315525576350288e-07,7.135827405805527e-05,3.964779587656082e-06
29,36.352,10.0,0.0,1.2720665104057932e-05,-2.638808488844079e-24,-8.1762128316575e-05,9.035390087468948e-21,8.70960095627752e-06,-5.335385457669111e-23,8.274576090378088e-05,8.70960095627752e-06
30,36.352,15.0,0.0,1.0455540567618113e-05,1.3554977157740336e-10,-7.0588136028408e-05,3.3516294046621042e-06,1.9021743728855134e-06,9.315525576350271e-07,7.13582740580552e-05,3.964779587656092e-06
31,54.528,5.0,0.0,1.2682688079296795e-05,-1.815367435221239e-10,-7.929928000472606e-05,-3.4246925599574986e-06,9.312229020591917e-07,-1.6804157867665757e-08,8.030707556758394e-05,3.549081233681392e-06
32,54.528,10.0,0.0,1.2712942171699762e-05,3.394051323457173e-25,-9.071403591799727e-05,2.1506390830939134e-20,7.182108143378583e-06,6.997003654983392e-22,9.160051971027611e-05,7.182108143378583e-06
33,54.528,15.0,0.0,1.2682688079296792e-05,1.8153674352212303e-10,-7.929928000472588e-05,3.424692559957521e-06,9.312229020591891e-07,1.680415786766332e-08,8.030707556758377e-05,3.5490812336814126e-06
34,72.704,5.0,0.0,1.4938968708292804e-05,-1.4260573915299627e-10,-7.154093033018817e-05,-3.381191573473393e-06,-9.249677447139077e-08,9.108502795994702e-07,7.308404407664183e-05,3.502950233968722e-06
35,72.704,10.0,0.0,1.2701526804877794e-05,-2.9775829141425973e-24,-8.28183887019421e-05,2.081257676617626e-20,6.233712794008675e-06,-1.0978803535082005e-21,8.378671905714533e-05,6.233712794008675e-06
36,72.704,15.0,0.0,1.4938968708292806e-05,1.426057391529928e-10,-7.154093033018799e-05,3.381191573473415e-06,-9.249677447138713e-08,-9.108502795994665e-07,7.308404407664166e-05,3.502950233968742e-06
37,90.88,5.0,0.0,1.6282214606224675e-05,2.3069845356345932e-10,-4.425065962469149e-05,-2.263204889472046e-06,1.4215207660382078e-07,1.43052027943295e-06,4.7151154702262376e-05,2.681173596483801e-06
38,90.88,10.0,0.0,1.2702575375367857e-05,2.22817743366243e-25,-5.177951335653293e-05,1.834183980401982e-21,4.930104278457037e-06,7.010121519673239e-22,5.331485182016615e-05,4.930104278457037e-06
39,90.88,15.0,0.0,1.6282214606224668e-05,-2.306984535634587e-10,-4.4250659624691455e-05,2.2632048894720604e-06,1.42152076603826e-07,-1.430520279432945e-06,4.715115470226234e-05,2.6811735964838106e-06
