elem_id,type,node_i,node_j,Fx_i_local,Fy_i_local,Fz_i_local,Mx_i_local,My_i_local,Mz_i_local,Fx_j_local,Fy_j_local,Fz_j_local,Mx_j_local,My_j_local,Mz_j_local
213,3D_truss,14,20,-0.15654136520235706,0.0,0.0,0.0,0.0,0.0,0.15654136520235706,0.0,0.0,0.0,0.0,0.0
214,3D_truss,15,21,0.12660724454734407,0.0,0.0,0.0,0.0,0.0,-0.12660724454734407,0.0,0.0,0.0,0.0,0.0
215,3D_truss,16,22,-0.22700875778500063,0.0,0.0,0.0,0.0,0.0,0.22700875778500063,0.0,0.0,0.0,0.0,0.0
216,3D_truss,17,23,0.10417872109228554,0.0,0.0,0.0,0.0,0.0,-0.10417872109228554,0.0,0.0,0.0,0.0,0.0
217,3D_truss,18,24,-0.30482836002338054,0.0,0.0,0.0,0.0,0.0,0.30482836002338054,0.0,0.0,0.0,0.0,0.0
218,3D_truss,15,20,-0.9489936748580377,0.0,0.0,0.0,0.0,0.0,0.9489936748580377,0.0,0.0,0.0,0.0,0.0
219,3D_truss,16,21,-0.17107995422093758,0.0,0.0,0.0,0.0,0.0,0.17107995422093758,0.0,0.0,0.0,0.0,0.0
220,3D_truss,16,23,-0.14077307265463013,0.0,0.0,0.0,0.0,0.0,0.14077307265463013,0.0,0.0,0.0,0.0,0.0
221,3D_truss,17,24,-0.8836329978965223,0.0,0.0,0.0,0.0,0.0,0.8836329978965223,0.0,0.0,0.0,0.0,0.0
222,3D_truss,15,22,0.17301227474995073,0.0,0.0,0.0,0.0,0.0,-0.17301227474995073,0.0,0.0,0.0,0.0,0.0
223,3D_truss,17,22,0.13373674287902482,0.0,0.0,0.0,0.0,0.0,-0.13373674287902482,0.0,0.0,0.0,0.0,0.0
301,3D_frame,2,25,-0.000114753373401304,0.07406720146578605,0.1565413652023553,-0.030901715534030854,-0.7858398007249381,0.2782104015355334,0.000114753373401304,-0.07406720146578605,-0.1565413652023553,0.030901715534030854,0.003132974713158987,0.09212560579339679
302,3D_frame,25,26,0.00011475337340130437,0.001256180246180072,0.15897069631840122,-0.05915988124889805,-0.002940353076954949,-0.08990194725561818,-0.00011475337340130437,-0.001256180246180072,-0.15897069631840122,0.05915988124889805,-0.7919131285150502,0.09618284848651837
303,3D_frame,26,27,0.00011475337340130432,-0.0012561802461800164,-0.15897069631839944,0.05915988124889808,0.7919131285150449,-0.09618284848651826,-0.00011475337340130432,0.0012561802461800164,0.15897069631839944,-0.05915988124889808,0.0029403530769478436,0.08990194725561818
304,3D_frame,27,14,-0.0001147533734013047,-0.07406720146578591,-0.15654136520235973,0.030901715534030826,-0.0031329747131518815,-0.09212560579339646,0.0001147533734013047,0.07406720146578591,0.15654136520235973,-0.030901715534030826,0.7858398007249487,-0.278210401535533
305,3D_frame,3,28,6.792670153286999e-05,0.053067934963330315,0.44765563350323667,-0.018406960971538575,-2.238851435267595,0.19491245309926786,-6.792670153286999e-05,-0.053067934963330315,-0.44765563350323667,0.018406960971538575,0.0005732677514274087,0.07042722171738369
306,3D_frame,28,29,-6.792670153286866e-05,-0.0020447895362842305,0.44818870313137715,-0.06587410556216772,-0.0007594063189344524,-0.06735458953165274,6.792670153286866e-05,0.0020447895362842305,-0.44818870313137715,0.06587410556216772,-2.24018410933796,0.05713064185023142
307,3D_frame,29,30,-6.79267015328697e-05,0.0020447895362841195,-0.4481887031313736,0.06587410556216776,2.2401841093379495,-0.057130641850231645,6.79267015328697e-05,-0.0020447895362841195,0.4481887031313736,-0.06587410556216776,0.000759406318927347,0.0673545895316523
308,3D_frame,30,15,6.792670153286838e-05,-0.05306793496332976,-0.44765563350323845,0.018406960971538534,-0.0005732677514203033,-0.07042722171738247,-6.792670153286838e-05,0.05306793496332976,0.44765563350323845,-0.018406960971538534,2.238851435267609,-0.19491245309926641
309,3D_frame,4,31,9.097169291380672e-05,0.001296314706999313,0.457794723424648,-0.009011257778646385,-2.2886080989922206,0.004363573379584151,-9.097169291380672e-05,-0.001296314706999313,-0.457794723424648,0.009011257778646385,-0.0003655181310158184,0.002118000155412192
310,3D_frame,31,32,-9.097169291380689e-05,-0.00037704436426472254,0.4575064461259988,-0.06048856630319948,0.00035517511561522497,-0.002065397522748036,9.097169291380689e-05,0.00037704436426472254,-0.4575064461259988,0.06048856630319948,-2.2878874057456002,0.00018017570142414563
311,3D_frame,32,33,-9.097169291380612e-05,0.000377044364264556,-0.45750644612600055,0.0604885663031995,2.2878874057456002,-0.00018017570142436767,9.097169291380612e-05,-0.000377044364264556,0.45750644612600055,-0.0604885663031995,-0.0003551751156045668,0.0020653975227471477
312,3D_frame,33,16,9.09716929138063e-05,-0.001296314706999091,-0.4577947234246462,0.009011257778646361,0.0003655181310051603,-0.00211800015541197,-9.09716929138063e-05,0.001296314706999091,0.4577947234246462,-0.009011257778646361,2.2886080989922206,-0.004363573379583707
313,3D_frame,5,34,7.146258800434949e-05,-0.05117051010010798,0.45077991784637206,0.0008950727872047542,-2.2565382754819225,-0.18878564753198845,-7.146258800434949e-05,0.05117051010010798,-0.45077991784637206,-0.0008950727872047542,0.00263868625006225,-0.067066902968552
314,3D_frame,34,35,-7.1462588004348e-05,0.0012727259931445967,0.45292900352188603,-0.0612174647522679,-0.0027340279387111366,0.06404118726457997,7.1462588004348e-05,-0.0012727259931445967,-0.45292900352188603,0.0612174647522679,-2.26191098967071,-0.057677557298856375
315,3D_frame,35,36,-7.146258800434925e-05,-0.0012727259931444856,-0.4529290035218878,0.061217464752267865,2.26191098967071,0.0576775572988566,7.146258800434925e-05,0.0012727259931444856,0.4529290035218878,-0.061217464752267865,0.0027340279387217947,-0.06404118726457919
316,3D_frame,36,17,7.146258800434776e-05,0.05117051010010765,-0.4507799178463703,-0.000895072787204719,-0.0026386862500693553,0.06706690296855089,-7.146258800434776e-05,-0.05117051010010765,0.4507799178463703,0.000895072787204719,2.256538275481926,0.18878564753198668
317,3D_frame,6,37,-0.00011560760904972074,-0.07726094103600634,0.3048283600233832,-0.0013755772148798528,-1.5181623895332805,-0.28873399558060786,0.00011560760904972074,0.07726094103600634,-0.3048283600233832,0.0013755772148798528,-0.005979410583638156,-0.09757070959942404
